duration,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7
1.2,-37.4932,-4.3534,61.9503,-133.0401,71.8305,-11.2267,-14.2060

0.5,-37.1322,-4.2407,58.3795,-130.9022,60.2763,-12.1139,-15.2349

1.6,13.73,-32.30,15.71,-113.58,91.22,-21.87,0.06


0.76,-45.48,-15.87,15.30,-96.31,78.87,-25.08,-10.5

0.56,60.15,-22.70,7.90,-101.95,102.65,27.04,-14.21

0.56,-45.48,-15.87,15.30,-96.31,78.87,-25.08,-10.5

0.56,60.15,-22.70,7.90,-101.95,102.65,27.04,-14.21

0.66,-45.48,-15.87,15.30,-96.31,78.87,-25.08,-10.5

1.7,13.73,-32.30,20.71,-113.58,91.22,-21.87,0.06

1.0,30.17,-10.0,0.0,-150.12,90.0,2.29,0.11
1.0,30.17,-10.0,0.0,-150.12,90.0,2.29,0.11
3.0,30.17,-10.0,0.0,-150.12,90.0,2.29,0.11

2.0,-0.17,-10.0,45.0,-19.12,45.0,2.29,0.11

1.5,-15.17,-10.0,80.0,-100.12,90.0,2.29,0.11
0.5,-15.17,-10.0,80.0,-100.12,90.0,2.29,0.11
